word,total_count,categories
qed,4,plain
sog,4,plain
softreset,4,mismatch_plain|plain
ithat,4,plain
espon,4,plain
tilp,4,mismatch_plain|plain
padhu,4,mismatch_plain|plain
catman,4,plain
qif,4,mismatch_plain|plain
soir,4,plain
foon,4,plain
6697,4,has_digit
itms,4,mismatch_plain|plain
itn,4,mismatch_plain|plain
aolbonics,4,plain
tiglion,4,mismatch_plain|plain
tigran,4,mismatch_plain|plain
wusb300n,4,has_digit
foor,4,plain
graabein,4,mismatch_plain|plain
6850,4,has_digit
oobase,4,plain
oobe,4,plain
qcam,4,plain
dextorion,4,plain
dezine,4,plain
vsphere,4,mismatch_plain|plain
cie,4,plain
msteele,4,plain
anywy,4,plain
anyy,4,mismatch_plain|plain
kuser,4,mismatch_plain|plain
softwear,4,mismatch_plain|plain
pocho,4,plain
cick,4,plain
acpitz,4,mismatch_plain|plain
danhb,4,mismatch_plain|plain
dani,4,plain
nekloksan,4,mismatch_plain|plain
nekostar,4,mismatch_plain|plain
causeitsme,4,mismatch_plain|plain
itanic,4,plain
acs,4,plain
vrkhans,4,mismatch_plain|plain
softrware,4,plain
softwarecenter,4,plain
wwed,4,plain
softmac,4,plain
018,4,has_digit
msvc,4,plain
italiana,4,plain
essentialy,4,mismatch_plain|plain
itallian,4,plain
cool'n'quiet,4,plain
wwwroot,4,plain
wwww,4,plain
catagories,4,plain
qmv,4,plain
qn,4,plain
mikel,4,plain
bande,4,mismatch_plain|plain
timboy,4,plain
ciaoo,4,mismatch_plain|plain
podrias,4,mismatch_plain|plain
podroznik,4,plain
eay,4,plain
somafm,4,plain
bakefy,4,plain
bakert,4,plain
foof,4,mismatch_plain|plain
foolishowl,4,mismatch_plain|plain
65c,4,has_digit
kweather,4,mismatch_plain|plain
bando,4,plain
kvcd,4,plain
kvim,4,plain
wwhere,4,plain
gppp,4,plain
vrs,4,plain
vpses,4,plain
acro,4,mismatch_plain|plain
bangho,4,mismatch_plain|plain
bankick,4,mismatch_plain|plain
qpopper,4,plain
castpodder,4,mismatch_plain|plain
casualidad,4,mismatch_plain|plain
anywere,4,plain
timtowtdi,4,mismatch_plain|plain
anytone,4,plain
it't,4,plain
padd,4,mismatch_plain|plain
padd1,4,has_digit|mismatch_has_digit
dfference,4,mismatch_plain|plain
kvivio,4,plain
soes,4,mismatch_plain|plain
mille,4,plain
someething,4,plain
aor,4,plain
tif,4,mismatch_plain|plain
tidus,4,plain
aother,4,mismatch_plain|plain
aound,4,plain
podes,4,mismatch_plain|plain
graca,4,plain
dew420,4,has_digit
q5,4,has_digit
sodo,4,plain
sodu,4,plain
kwirelessmonitor,4,mismatch_plain|plain
earz,4,mismatch_plain|plain
kwlan,4,mismatch_plain|plain
kwm,4,plain
kwin4,4,has_digit
ktron,4,plain
someother,4,mismatch_plain|plain
kthread,4,mismatch_plain|plain
ebbedadj,4,plain
ebc,4,plain
wua,4,plain
oofice,4,plain
anywas,4,plain
timmis,4,plain
mths,4,mismatch_plain|plain
mtlife,4,mismatch_plain|plain
onlything,4,mismatch_plain|plain
coolguy,4,plain
bansee,4,mismatch_plain|plain
heyho,4,plain
itnernet,4,mismatch_plain|plain
miht,4,plain
kwpolska,4,mismatch_plain|plain
kworker,4,mismatch_plain|plain
sobie,4,mismatch_plain|plain
656,4,has_digit
wyclif,4,mismatch_plain|plain
x0,4,has_digit|mismatch_has_digit
gpgp,4,plain
661fx,4,has_digit
6630,4,has_digit
nishttal,4,mismatch_plain|plain
nishttal2,4,has_digit|mismatch_has_digit
coold,4,mismatch_plain|plain
anywaty,4,plain
pña,4,latin_extended
cazzo,4,plain
espera,4,mismatch_plain|plain
hexi,4,plain
heyall,4,plain
acovrig,4,plain
convienient,4,mismatch_plain|plain
kt400,4,has_digit
kt600,4,has_digit
q1,4,has_digit
snuitje,4,mismatch_plain|plain
hhi,4,plain
snx,4,plain
sny,4,plain
bara,4,plain
qslogs,4,plain
qsynth,4,plain
qt2,4,has_digit
foobared,4,mismatch_plain|plain
foobilliard,4,mismatch_plain|plain
tico,4,plain
nemesis1911,4,has_digit
nemesisd,4,mismatch_plain|plain
vvvhackervvv,4,plain
tinyx,4,mismatch_plain|plain
vonhinten,4,mismatch_plain|plain
voulme,4,plain
actally,4,plain
qtdir,4,plain
qrz,4,plain
snt,4,mismatch_plain|plain
banwidth,4,plain
conviced,4,mismatch_plain|plain
tienen,4,mismatch_plain|plain
forcequit,4,plain
bardzo,4,mismatch_plain|plain
cimg,4,plain
pm8,4,has_digit|mismatch_has_digit
cinci,4,mismatch_plain|plain
cind,4,mismatch_plain|plain
cindux,4,plain
snprintf,4,mismatch_plain|plain
earleir,4,plain
kyan,4,plain
kyboard,4,mismatch_plain|plain
kyentei,4,plain
isw,4,mismatch_plain|plain
millibit,4,mismatch_plain|plain
kswapd,4,mismatch_plain|plain
wubildr,4,mismatch_plain|plain
pytube,4,plain
pyvnc,4,mismatch_plain|plain
pyvnc2swf,4,has_digit|mismatch_has_digit
devpts,4,mismatch_plain|plain
devrethman,4,mismatch_plain|plain
devsel,4,plain
baham,4,plain
somethingl,4,plain
poer,4,plain
plzzzzz,4,plain
plzzzzzzzzzzzzz,4,plain
eard,4,plain
kylie,4,plain
only1,4,has_digit|mismatch_has_digit
64amd,4,has_digit
6502,4,has_digit
hice,4,plain
actionparnship,4,plain
können,4,latin_extended|mismatch_latin_extended
cvjf,4,plain
nity,4,plain
gourlis,4,plain
mie,4,plain
istn,4,plain
istnt,4,plain
actionparnsnip,4,plain
paidia,4,plain
vvvv,4,mismatch_plain|plain
vware,4,plain
apachefriends,4,plain
tiems,4,plain
tien,4,mismatch_plain|plain
itshould,4,plain
tickbox,4,plain
somethiong,4,plain
somethjing,4,mismatch_plain|plain
ookey,4,plain
228,4,has_digit
x1900,4,has_digit
snce,4,mismatch_plain|plain
sndcard,4,mismatch_plain|plain
snakedoc,4,plain
barka,4,plain
snipeme,4,mismatch_plain|plain
kyocera,4,plain
decypher,4,plain
ded,4,mismatch_plain|plain
volumen,4,mismatch_plain|plain
nixiepixel,4,plain
quaility,4,mismatch_plain|plain
ests,4,plain
anyoone,4,mismatch_plain|plain
hideme,4,plain
hiden,4,plain
activat,4,mismatch_plain|plain
volvoguy,4,plain
fflush,4,plain
quakky,4,plain
casefan,4,plain
goverments,4,mismatch_plain|plain
poewr,4,plain
msot,4,mismatch_plain|plain
mspublisher,4,plain
tibook,4,mismatch_plain|plain
cweagans,4,plain
cwill747,4,has_digit
6999,4,has_digit
kspath,4,mismatch_plain|plain
bagy,4,plain
pythong,4,mismatch_plain|plain
pythonmagick,4,plain
tiago,4,plain
eaf,4,plain
l3,4,has_digit
sms's,4,mismatch_plain|plain
eaiser,4,mismatch_plain|plain
l'italiano,4,plain
l1,4,has_digit
bartek,4,mismatch_plain|plain
onko,4,plain
mimo,4,plain
bady,4,plain
baekmuk,4,plain
6ubuntu9,4,has_digit|mismatch_has_digit
x4500,4,has_digit|mismatch_has_digit
hicolor,4,plain
tita1,4,has_digit
cinfig,4,plain
pluss,4,plain
plustax,4,plain
plughw,4,mismatch_plain|plain
plugnplay,4,plain
anyoe,4,plain
barts,4,plain
ead,4,plain
ooking,4,mismatch_plain|plain
pyroticshadow,4,plain
pysch,4,mismatch_plain|plain
cbz,4,plain
somewone,4,mismatch_plain|plain
poincare,4,mismatch_plain|plain
tkcximage,4,plain
ispanai,4,plain
volumeicon,4,plain
hiero,4,mismatch_plain|plain
actionparsnips,4,plain
quanto,4,plain
dfor,4,plain
vustom,4,mismatch_plain|plain
vão,4,latin_extended
w00,4,has_digit
pythonsnake,4,plain
bashburn,4,plain
quastion,4,mismatch_plain|plain
quatro,4,plain
quck,4,mismatch_plain|plain
dft,4,plain
midle,4,plain
quando,4,mismatch_plain|plain
forexample,4,mismatch_plain|plain
x60,4,has_digit
forgett,4,plain
tjiggi,4,plain
graphicalley,4,mismatch_plain|plain
gramatic,4,plain
fooadd,4,plain
graphcis,4,mismatch_plain|plain
baggar,4,plain
itunesdb,4,mismatch_plain|plain
itup,4,plain
somhow,4,plain
ksbalaji,4,plain
hideing,4,mismatch_plain|plain
ispiked,4,plain
isreal,4,plain
tkinter,4,mismatch_plain|plain
anyname,4,plain
anyobody,4,mismatch_plain|plain
decribe,4,mismatch_plain|plain
smpt,4,mismatch_plain|plain
e6600,4,has_digit|mismatch_has_digit
e72,4,has_digit|mismatch_has_digit
l8tr,4,has_digit|mismatch_has_digit
laaa,4,mismatch_plain|plain
x360,4,has_digit
cooner750,4,has_digit
onexused,4,mismatch_plain|plain
labview,4,plain
basica,4,plain
smoething,4,mismatch_plain|plain
basedir,4,mismatch_plain|plain
bashprofile,4,mismatch_plain|plain
smileylap,4,mismatch_plain|plain
smilie,4,mismatch_plain|plain
smps,4,plain
hiddenwolf,4,mismatch_plain|plain
thyanks,4,plain
nenhum,4,plain
dandare,4,mismatch_plain|plain
w0ls0n,4,has_digit
badsig,4,plain
cc1,4,has_digit
ccache,4,plain
pyrit,4,plain
somtjhing,4,mismatch_plain|plain
graphikal,4,plain
wrx,4,plain
wsup,4,plain
anyhone,4,mismatch_plain|plain
activedirectory,4,plain
activestate,4,plain
activi,4,plain
paitence,4,plain
paja,4,mismatch_plain|plain
microtech,4,mismatch_plain|plain
microtorrent,4,mismatch_plain|plain
bassed,4,plain
e2fsk,4,has_digit|mismatch_has_digit
tlds,4,plain
tlinux,4,plain
ff5,4,has_digit|mismatch_has_digit
hightlighted,4,mismatch_plain|plain
ffff,4,plain
fffffff,4,mismatch_plain|plain
highlite,4,mismatch_plain|plain
anyine,4,plain
e4,4,has_digit
lado,4,plain
laf,4,plain
microsucks,4,plain
ebst,4,plain
ebuyer,4,mismatch_plain|plain
queation,4,mismatch_plain|plain
basix,4,plain
smbldap,4,plain
gostaria,4,plain
gotch,4,plain
x505,4,has_digit|mismatch_has_digit
62c0,4,has_digit|mismatch_has_digit
anykey,4,mismatch_plain|plain
etckeeper,4,plain
etc3,4,has_digit|mismatch_has_digit
etcc,4,mismatch_plain|plain
1376,4,has_digit|mismatch_has_digit
plug'n'play,4,plain
mudassar,4,plain
x86config,4,has_digit
smbnetfs,4,plain
w3ird,4,has_digit|mismatch_has_digit
thumbnailing,4,plain
thunderb,4,plain
aparece,4,plain
aparrently,4,mismatch_plain|plain
itym,4,mismatch_plain|plain
msikma,4,plain
msmaco,4,plain
wszystkim,4,mismatch_plain|plain
somtning,4,plain
kronosphere,4,plain
kroonrs,4,mismatch_plain|plain
ecactly,4,mismatch_plain|plain
paki,4,plain
pais,4,mismatch_plain|plain
carribean,4,plain
mindvirus1,4,has_digit|mismatch_has_digit
baddd,4,plain
oomk,4,mismatch_plain|plain
ooo1,4,has_digit|mismatch_has_digit
0xb6a6fe50,4,has_digit
e260,4,has_digit
lagnauge,4,plain
laguage,4,mismatch_plain|plain
e2,4,has_digit|mismatch_has_digit
quelle,4,plain
qucs,4,mismatch_plain|plain
negitive,4,plain
pakcage,4,plain
completeing,4,plain
pakete,4,plain
6i,4,has_digit
tlong,4,plain
tmapj,4,mismatch_plain|plain
tmpreaper,4,plain
tmptime,4,plain
voces,4,plain
vocês,4,latin_extended|mismatch_latin_extended
xaero,4,mismatch_plain|plain
e169,4,has_digit
lalagirl,4,plain
bassliner,4,mismatch_plain|plain
lainiwakura,4,mismatch_plain|plain
krumar,4,plain
kruptein,4,mismatch_plain|plain
son't,4,plain
soname,4,plain
devkit,4,plain
njs,4,plain
cutecom,4,plain
forlder,4,plain
forloop,4,mismatch_plain|plain
tmr,4,mismatch_plain|plain
tms,4,plain
hijjt,4,plain
hikaru79,4,has_digit
hihihi100,4,has_digit|mismatch_has_digit
microsfot,4,mismatch_plain|plain
microshit,4,mismatch_plain|plain
624,4,has_digit
x7f,4,has_digit
goos,4,plain
xabacus,4,plain
xact,4,mismatch_plain|plain
defalut,4,plain
vy,4,plain
ackage,4,plain
danc,4,plain
danc3,4,has_digit
neos,4,mismatch_plain|plain
oog,4,mismatch_plain|plain
conversor,4,mismatch_plain|plain
baddly,4,plain
sonds,4,plain
xaralx,4,plain
smallcase,4,mismatch_plain|plain
bat1,4,has_digit|mismatch_has_digit
smarctl,4,plain
lale,4,plain
lamah,4,plain
anya,4,mismatch_plain|plain
plp,4,mismatch_plain|plain
lampa,4,mismatch_plain|plain
déjà,4,latin_extended
lancellor,4,plain
lanch,4,plain
lancher,4,plain
formatt,4,mismatch_plain|plain
gooling,4,mismatch_plain|plain
nks,4,plain
coooooool,4,plain
microdc,4,plain
microkernels,4,plain
sm56,4,has_digit
gooogle,4,mismatch_plain|plain
poje,4,plain
sonicwall,4,plain
sonofa,4,plain
echod,4,plain
krischan,4,mismatch_plain|plain
bada,4,mismatch_plain|plain
espacio,4,mismatch_plain|plain
iup,4,mismatch_plain|plain
w3schools,4,has_digit|mismatch_has_digit
actsualley,4,mismatch_plain|plain
1720,4,has_digit
isl3890,4,has_digit
tnk1,4,has_digit
tnkz,4,mismatch_plain|plain
eth4,4,has_digit
ishue,4,plain
isisland,4,mismatch_plain|plain
slowe,4,plain
slowlaris,4,plain
langauage,4,plain
lange,4,plain
sloooooow,4,mismatch_plain|plain
slooooow,4,plain
questionmarks,4,plain
batterys,4,plain
battlefield2,4,has_digit|mismatch_has_digit
oneko,4,plain
xbacklight,4,plain
xbattbar,4,plain
battlestar,4,mismatch_plain|plain
somw,4,mismatch_plain|plain
badfish69,4,has_digit
sonicchao,4,plain
poit,4,mismatch_plain|plain
cchaos,4,mismatch_plain|plain
pykaraoke,4,plain
pykeylogger,4,mismatch_plain|plain
pxy,4,plain
bactalan,4,plain
heppens,4,plain
acidentally,4,plain
xastir,4,mismatch_plain|plain
complecated,4,mismatch_plain|plain
palabra,4,plain
palimpset,4,plain
danileigh,4,mismatch_plain|plain
danileigh79,4,has_digit|mismatch_has_digit
danish989,4,has_digit
batts,4,plain
msgd,4,plain
apecat,4,plain
bactrack,4,plain
kream,4,mismatch_plain|plain
krecipes,4,mismatch_plain|plain
kreppnar,4,plain
kresten,4,mismatch_plain|plain
anwsers,4,plain
actualyl,4,plain
vn800,4,has_digit
micorsoft,4,mismatch_plain|plain
microblogging,4,plain
baudrate,4,mismatch_plain|plain
sloow,4,mismatch_plain|plain
herre,4,mismatch_plain|plain
herdy,4,mismatch_plain|plain
fontforge,4,plain
grapical,4,plain
eclips,4,plain
eclispe,4,plain
backupping,4,plain
throu,4,mismatch_plain|plain
ivp,4,plain
onaogh,4,plain
googe,4,plain
laoding,4,plain
languag,4,plain
anwsered,4,mismatch_plain|plain
toba,4,mismatch_plain|plain
tobberoth,4,plain
chumby,4,plain
msg43,4,has_digit|mismatch_has_digit
michealh,4,mismatch_plain|plain
mickmcmack,4,plain
questioon,4,plain
slicehost,4,mismatch_plain|plain
todas,4,mismatch_plain|plain
etherboot,4,plain
etherconf,4,plain
isea,4,mismatch_plain|plain
vmmon,4,mismatch_plain|plain
acutal,4,plain
vmtools,4,mismatch_plain|plain
sled10,4,has_digit
sleepin,4,plain
lantizia,4,plain
fols,4,plain
graphmonkey,4,mismatch_plain|plain
throguh,4,mismatch_plain|plain
pychild,4,plain
backtraces,4,mismatch_plain|plain
sorces,4,plain
soreu,4,plain
sophtpaw,4,mismatch_plain|plain
apicola,4,plain
apipa,4,plain
isbn,4,plain
tochpad,4,plain
is's,4,plain
lapotp,4,mismatch_plain|plain
quetsion,4,plain
carefuly,4,mismatch_plain|plain
quicklaunch,4,plain
1025,4,has_digit
micahcowan,4,plain
2020,4,has_digit|mismatch_has_digit
googleable,4,plain
googlebot,4,plain
xboxs,4,mismatch_plain|plain
xbmcbuntu,4,plain
onboards,4,mismatch_plain|plain
dynamicly,4,mismatch_plain|plain
dynamips,4,plain
bazhang's,4,plain
bazz,4,mismatch_plain|plain
plox,4,plain
plik,4,mismatch_plain|plain
isant,4,plain
achandrashekar,4,plain
defaultly,4,plain
slagam,4,mismatch_plain|plain
larryone,4,plain
slaven,4,mismatch_plain|plain
laptpo,4,plain
laquirrell,4,mismatch_plain|plain
lardarse,4,plain
cardmgr,4,plain
togather,4,mismatch_plain|plain
togeather,4,plain
toddedm,4,plain
complaning,4,plain
compleate,4,mismatch_plain|plain
vmdk,4,mismatch_plain|plain
plesase,4,mismatch_plain|plain
dhave,4,plain
mic1,4,has_digit
threre,4,mismatch_plain|plain
thres,4,mismatch_plain|plain
apititude,4,plain
compresed,4,mismatch_plain|plain
compresion,4,plain
pacjage,4,plain
packae,4,plain
compro,4,plain
compromized,4,plain
krababbel,4,plain
kraeloc,4,plain
ecobuntu,4,mismatch_plain|plain
oookay,4,mismatch_plain|plain
hillshum,4,plain
him89,4,has_digit|mismatch_has_digit
palo,4,plain
mui,4,plain
muich,4,mismatch_plain|plain
mujer,4,plain
slabby,4,plain
laser88,4,has_digit
xcha,4,mismatch_plain|plain
xchange,4,plain
skyp,4,plain
quicly,4,mismatch_plain|plain
dhc,4,plain
1028,4,has_digit
customizeable,4,mismatch_plain|plain
goodday,4,plain
vizio,4,mismatch_plain|plain
0567,4,has_digit|mismatch_has_digit
threetimes,4,mismatch_plain|plain
cx20549,4,has_digit|mismatch_has_digit
nimbuzz,4,plain
gratefull,4,plain
grato,4,plain
ccmonster,4,mismatch_plain|plain
ccnp,4,plain
pwmconfig,4,plain
grazi,4,mismatch_plain|plain
followsymlinks,4,plain
grb,4,mismatch_plain|plain
esing,4,plain
iwndows,4,plain
irun,4,plain
irrelivant,4,plain
irss,4,plain
tohuw,4,mismatch_plain|plain
70mb,4,has_digit|mismatch_has_digit
defautl,4,mismatch_plain|plain
mschapv,4,plain
ironicus,4,mismatch_plain|plain
ironm,4,mismatch_plain|plain
omn,4,plain
caralho,4,mismatch_plain|plain
quickstarter,4,plain
bbm,4,plain
bbm4n,4,has_digit
dx8,4,has_digit
muk,4,plain
mul,4,plain
adac,4,plain
vlite,4,mismatch_plain|plain
nillerz,4,plain
mhrnjad,4,mismatch_plain|plain
dwxreaper,4,plain
lastname,4,mismatch_plain|plain
bcbc,4,mismatch_plain|plain
skyl,4,plain
copmuter,4,plain
omlette,4,mismatch_plain|plain
vlmc,4,plain
etoken,4,plain
cit,4,plain
mulitple,4,mismatch_plain|plain
esk,4,plain
eskiled,4,plain
fomr,4,plain
graw,4,plain
sorg,4,mismatch_plain|plain
pachage,4,mismatch_plain|plain
neowin,4,plain
nephlin,4,plain
11111,4,has_digit
ooodles,4,plain
sorryy,4,plain
devilhan,4,mismatch_plain|plain
miniclip,4,plain
minicopier,4,mismatch_plain|plain
sosi,4,mismatch_plain|plain
soskel,4,plain
pamusb,4,plain
needhelp1,4,has_digit
needit,4,plain
needto,4,plain
5c,4,has_digit
antidrugue,4,plain
ciudad,4,mismatch_plain|plain
dhelp,4,mismatch_plain|plain
mgv,4,plain
dwerf,4,mismatch_plain|plain
dwho,4,plain
bckup,4,plain
bcbc2,4,has_digit|mismatch_has_digit
gooday,4,mismatch_plain|plain
gonn,4,plain
gonnna,4,plain
tolearn,4,plain
irock,4,mismatch_plain|plain
chucky,4,plain
thouroughly,4,plain
achoth,4,plain
esh,4,mismatch_plain|plain
iwspy,4,mismatch_plain|plain
hemm,4,mismatch_plain|plain
achi,4,mismatch_plain|plain
helvete,4,plain
wabs,4,plain
sotp,4,plain
backgrond,4,plain
backgroun,4,plain
hiren,4,mismatch_plain|plain
vj,4,plain
tommrow,4,plain
irfan,4,mismatch_plain|plain
ettiquette,4,mismatch_plain|plain
irissi,4,plain
irivers,4,mismatch_plain|plain
backgroung,4,mismatch_plain|plain
souldnt,4,mismatch_plain|plain
ectiva,4,plain
ccrypt,4,plain
p7z,4,has_digit
bcj,4,plain
latly,4,plain
lau,4,plain
goldline,4,plain
pleasse,4,mismatch_plain|plain
multihead,4,plain
etx4,4,has_digit|mismatch_has_digit
etz,4,mismatch_plain|plain
vives,4,mismatch_plain|plain
ferrenrock,4,plain
kpkg,4,mismatch_plain|plain
irda0,4,has_digit|mismatch_has_digit
plce,4,mismatch_plain|plain
ple,4,plain
tomtheman70,4,has_digit
needd,4,plain
needer,4,plain
danl,4,plain
compizconfigsettingsmanager,4,plain
foruns,4,plain
laughting,4,mismatch_plain|plain
bcm4303,4,has_digit
7176,4,has_digit
wquestion,4,plain
grea,4,plain
wrekk,4,plain
712,4,has_digit
thore,4,plain
20minutes,4,has_digit
20ubuntu13,4,has_digit|mismatch_has_digit
cctv,4,mismatch_plain|plain
ccv,4,mismatch_plain|plain
ccvp,4,plain
pwm,4,plain
bcm5751m,4,has_digit
sketchup,4,mismatch_plain|plain
skapare,4,plain
quitte,4,mismatch_plain|plain
quix,4,mismatch_plain|plain
custiom,4,mismatch_plain|plain
nmdb,4,mismatch_plain|plain
nmea,4,mismatch_plain|plain
ird,4,mismatch_plain|plain
nikos,4,plain
niks,4,mismatch_plain|plain
grean,4,mismatch_plain|plain
izzo,4,mismatch_plain|plain
0p,4,has_digit
0rc4,4,has_digit
adapater,4,plain
vituralbox,4,mismatch_plain|plain
vivek,4,plain
tomy,4,plain
tomreyn,4,mismatch_plain|plain
tomtheman,4,plain
tonsofpc1,4,has_digit|mismatch_has_digit
nmot,4,plain
iya,4,mismatch_plain|plain
1368,4,has_digit
launchbar,4,plain
dvix,4,mismatch_plain|plain
bdc,4,mismatch_plain|plain
quot,4,plain
quotacheck,4,plain
quoteing,4,plain
mgdam,4,plain
mgj59,4,has_digit|mismatch_has_digit
goldfisch,4,mismatch_plain|plain
goldins,4,plain
xcube,4,mismatch_plain|plain
kozeris,4,plain
souds,4,plain
204,4,has_digit|mismatch_has_digit
pw's,4,mismatch_plain|plain
greez,4,mismatch_plain|plain
polska,4,plain
eucd,4,plain
toobad,4,mismatch_plain|plain
toogle,4,plain
adblockplus,4,mismatch_plain|plain
histcontrol,4,plain
curso,4,plain
skad,4,plain
skal,4,mismatch_plain|plain
eselect,4,plain
esential,4,mismatch_plain|plain
comprimised,4,mismatch_plain|plain
followd,4,mismatch_plain|plain
kotepe,4,mismatch_plain|plain
babytrans,4,mismatch_plain|plain
soundfont,4,plain
debuntu,4,mismatch_plain|plain
multipage,4,plain
multipel,4,plain
toon,4,mismatch_plain|plain
ircds,4,plain
dvdrecord,4,mismatch_plain|plain
sjould,4,plain
xds20010,4,has_digit
xde,4,plain
omething,4,mismatch_plain|plain
soulwarp,4,plain
folers,4,plain
ooph,4,mismatch_plain|plain
oopse,4,mismatch_plain|plain
fiest,4,plain
cht,4,mismatch_plain|plain
kosharl,4,mismatch_plain|plain
pvcreate,4,mismatch_plain|plain
cdda,4,plain
babalu,4,plain
iǘe,4,latin_extended
omac,4,plain
cappy,4,plain
dhl,4,plain
dho,4,mismatch_plain|plain
forwardx11,4,has_digit
gohanx,4,plain
gohanx3,4,has_digit
goig,4,plain
580,4,has_digit
xenex,4,plain
xearth,4,plain
korfox,4,plain
7200rpm,4,has_digit
greig,4,plain
ircmonkeyx,4,mismatch_plain|plain
toosmooth,4,mismatch_plain|plain
topbar,4,mismatch_plain|plain
ansver,4,plain
cjf,4,plain
cjk,4,plain
playign,4,plain
lbd,4,plain
xegl,4,plain
5830,4,has_digit
apocalypt,4,mismatch_plain|plain
thompa,4,plain
wpe,4,mismatch_plain|plain
debugfs,4,plain
multipul,4,plain
hix,4,plain
visualbasic,4,mismatch_plain|plain
fotns,4,plain
xenserver,4,mismatch_plain|plain
beamoo,4,plain
sirus,4,mismatch_plain|plain
thoda,4,plain
apoligise,4,plain
fiendskull9,4,has_digit|mismatch_has_digit
helt,4,plain
helvasca,4,plain
edeca,4,plain
kornholijo,4,plain
kosai,4,mismatch_plain|plain
apophis,4,mismatch_plain|plain
apoulos,4,plain
thjat,4,mismatch_plain|plain
contributer,4,mismatch_plain|plain
controlc,4,mismatch_plain|plain
south01,4,has_digit|mismatch_has_digit
baatti,4,plain
bearly,4,mismatch_plain|plain
qwaz,4,plain
mfm,4,mismatch_plain|plain
mfp,4,mismatch_plain|plain
mfr,4,mismatch_plain|plain
fosdem,4,plain
foshizzle,4,plain
xes,4,mismatch_plain|plain
fosser,4,mismatch_plain|plain
apox,4,plain
5750,4,has_digit|mismatch_has_digit
576,4,has_digit
5770,4,has_digit|mismatch_has_digit
fotos,4,mismatch_plain|plain
fotr,4,mismatch_plain|plain
godo,4,mismatch_plain|plain
xerxes1358,4,has_digit|mismatch_has_digit
ldapsearch,4,mismatch_plain|plain
sirc,4,plain
siro,4,plain
beaner,4,plain
grendal,4,mismatch_plain|plain
helppppppp,4,plain
helppppppppppp,4,plain
p900,4,has_digit|mismatch_has_digit
adblocking,4,plain
ansering,4,plain
ansic,4,mismatch_plain|plain
toosl,4,plain
euronerd,4,mismatch_plain|plain
ipw3945d,4,has_digit
topc,4,plain
bab,4,plain
sovieticool,4,mismatch_plain|plain
edg,4,plain
edgex,4,mismatch_plain|plain
devic,4,plain
minit,4,plain
baaack,4,plain
7300gs,4,has_digit
wouild,4,mismatch_plain|plain
helppppppppppppppppp,4,plain
helpt,4,plain
waitasec,4,mismatch_plain|plain
fokuslee,4,mismatch_plain|plain
sove,4,mismatch_plain|plain
koolaid,4,plain
thir,4,plain
ev1938,4,has_digit
iptv,4,plain
plattform,4,plain
visiontek,4,plain
viska,4,plain
fergalicious,4,plain
ldp,4,plain
leachim6,4,has_digit
180mb,4,has_digit|mismatch_has_digit
ck1,4,has_digit
player1up,4,has_digit
ckermit,4,mismatch_plain|plain
ckers,4,mismatch_plain|plain
plataform,4,mismatch_plain|plain
platicar,4,plain
r0,4,has_digit
r00723r0,4,has_digit
qwert,4,plain
capisci,4,mismatch_plain|plain
capitalised,4,plain
corba,4,mismatch_plain|plain
567,4,has_digit|mismatch_has_digit
5670,4,has_digit
escott's,4,mismatch_plain|plain
apoorvkhatreja,4,plain
j1,4,has_digit
konqurer,4,mismatch_plain|plain
baaah,4,plain
nii,4,mismatch_plain|plain
hji,4,mismatch_plain|plain
fenster,4,plain
dansk,4,plain
xfdesktop,4,plain
leadtek,4,mismatch_plain|plain
siocsifaddr,4,mismatch_plain|plain
singlesun,4,plain
sinhala,4,plain
sinisterstuf,4,plain
sint,4,mismatch_plain|plain
qx,4,plain
hiw,4,mismatch_plain|plain
toshutils,4,plain
virtuaposta,4,plain
virtul,4,plain
dantheman,4,mismatch_plain|plain
necessarilly,4,plain
lebowski,4,mismatch_plain|plain
leagal,4,plain
leanr,4,plain
learnig,4,plain
5700le,4,has_digit
torrentfreak,4,mismatch_plain|plain
defenition,4,plain
defenitly,4,plain
mrwizeguy,4,mismatch_plain|plain
mrwizeguy1983,4,has_digit|mismatch_has_digit
chrunchbang,4,plain
nere,4,mismatch_plain|plain
woulden't,4,mismatch_plain|plain
minitor,4,plain
minport,4,mismatch_plain|plain
cdfs,4,plain
olny,4,mismatch_plain|plain
r03,4,has_digit
r0x,4,has_digit|mismatch_has_digit
meun,4,mismatch_plain|plain
diabolix,4,mismatch_plain|plain
dv5000,4,has_digit|mismatch_has_digit
godammit,4,mismatch_plain|plain
xfixes,4,mismatch_plain|plain
panarchy,4,plain
ipppd,4,plain
anonymize,4,mismatch_plain|plain
becomming,4,plain
necissary,4,mismatch_plain|plain
compilling,4,mismatch_plain|plain
virual,4,plain
plantronics,4,plain
multithreading,4,plain
toten,4,plain
dv4000,4,has_digit|mismatch_has_digit
simplist,4,plain
simplyubuntu,4,mismatch_plain|plain
55c,4,has_digit
xfconfig,4,plain
jaba,4,plain
thisfile,4,plain
thismorning,4,mismatch_plain|plain
nerdygirl,4,plain
spacebass,4,mismatch_plain|plain
spacebug,4,plain
baaa,4,mismatch_plain|plain
editplus,4,mismatch_plain|plain
editted,4,mismatch_plain|plain
kono,4,mismatch_plain|plain
editior,4,mismatch_plain|plain
edito,4,plain
1310,4,has_digit
118,4,has_digit|mismatch_has_digit
